M8123;SARTORI;SERVIO;2486445035
M8122;MELONI;SERVILIO;3413731816
M8121;MORO;SERVILIA;2477176308
M8120;FUSCO;SERVIGLIO;3365237806
M8129;MARCHI;SESTINO;2442812790
M8128;NEGRI;SESTINA;2448110107
M8127;SPINELLI;SESTILIO;3312175521
M8126;LEONARDI;SESTILIA;3411430403
M8125;FERRANTE;SESTA;3411890999
M8124;GIORGI;SERVOLO;2482893058
M8134;PINNA;SETTIMIA;3388383337
M8133;MOLINARI;SETTIMA;2371641593
M8132;GAROFALO;SETTEMBRINO;2376148610
M8131;VOLPE;SETTEMBRINA;2317717473
M8130;D'ALESSANDRO;SESTO;2484382618
M8139;ARENA;SEVERA;2389344688
M8138;MARINELLI;SETTIMO;2347938305
M8137;FUMAGALLI;SETTIMIO;2475839406
M8136;VIOLA;SETTIMINO;3334844419
M8135;VALENTI;SETTIMINA;3388850420
M8101;COSTANTINI;SEMPLICIA;2413037252
M8100;FERRETTI;SEMIRAMIDE;3332106804
M8109;OLIVIERI;SERAFINO;3382420805
M8108;CALABRESE;SERAFINA;3386082837
M8107;MILANI;SENOFONTE;3464750045
M8106;FERRO;SENAD;3361950424
M8105;CATALANO;SEMPRONIO;3391423221
M8104;DONATI;SEMPRONIA;3498642167
M8103;VITALI;SEMPLICIO;3435012572
M8102;DE SIMONE;SEMPLICIANO;2416495161
M8112;PERRONE;SERENELLA;3337581285
M8111;RUGGERI;SERENA SUZUE;2419867534
M8110;SANTINI;SERENA;2371719569
M8119;PIAZZA;SERGIO DANIELE;2336424622
M8118;PACE;SERGIO;2315784714
M8117;MANTOVANI;SERGINA;2441719505
M8116;VENTURA;SERGIA;2337199869
M8115;BRUNI;SERENO;2422783886
M8114;POZZI;SERENILLA;3374648979
M8113;BRAMBILLA;SERENELLO;3367874148
M8170;MANCA;SIGNORELLA;2438692993
M8167;PEPE;SIGISMUNDA;3353442344
M8166;GROSSI;SIGISMONDO;2477564006
M8165;GIANNINI;SIGISMONDA;3353175590
